id,text
39,"Though the little cobalt bottles still decorate the shelves today, this beer only had 3 vintage releases; 1994, 1995, and 1997. Brewed with two row malted barley, water, Noble hops and yeast, along with maple syrup, it was then aged several months in oak whiskey barrels before being bottled. At the time it was considered the world's strongest beer, and a precursor of today's Extreme Beers."
40,"An American-style wheat ale brewed with malted. Low hopping rates allow the refreshing aroma and citrus flavor of a late addition of lemon grass to dominate. This unfiltered beer retains all of its protein, flavor, and some of its yeast, resulting in a traditionally cloudy appearance."
41,"A touch of Maple Syrup is added to each barrel of our award winning Maple Nut Brown Ale to impart a roasted sweetness. This addition balances the nut flavor produced by Munich, caramel and chocolate malts used in the brewhouse, producing a drinkable brown ale."
42,"Formerly called ""Pick Axe Pale Ale""."
43,"White Ale's are Belgian style beers, often refered to as ""Wit"" beer. Our version of this classic style is a wonderful spicy brew, infused with orange peel and coriander spices. It has a crisp refreshing flavor and a slight 'white' haze from the large percentage of wheat used in the mash."
44,"This beer is 6.2% when released in Europe, US labels say 6.9% due to labeling laws."
45,"A beer that has a dominant malty taste. This beer’s origins in a monk’s recipe are reflected in its heartiness. The Pope of Beers, Conrad Seidl, describes it as: “Almost black with a very slight red tone, a sensational, festive foam and truly extraordinary fragrance that at first summons up visions of greaves lard. The first taste is of mild fullness with an accompanying coffee tone, which becomes more dominant with the aftertaste. There is very little of the sweetness that is frequently to be tasted with doppelbock beer.” The Ayinger Celebrator has been ranked among the best beers of the world by the Chicago Testing Institute several times and has won numerous medals."
46,"Wheat ale with spicy, crisp taste. Unfiltered. "
47,"This beer was first brewed in 1978 to celebrate the 100th anniversary of our brewery. It has a golden-yellow color with a slightly flowery yeast, honey-ish aroma, tastes a little spicy and is full-bodied in initial taste, mild before swallowing and soft with a refined sparkle and fades with a well-balanced hint of bitterness. It is an especially drinkable and harmonious beer. Conrad Seidl, known as the Austrian “Pope of Beers”, on the Jahrhundert Bier: “It is a malty beer that pronounces the precious earthy quality of malted barley.”"
48,"Up until the Second World War, dark beer was the predominant beer type in the Munich area. The hard water found in the region played a special role in producing this specialty. In his book “Beer International”, the world-renowned English beer writer, Michael Jackson, accurately describes the Ayinger “Altbairisch Dunkel” as: “A good example of its kind. Impenetrably dark with a golden-brown gleam when held up to the light, and with a warm aroma and malty taste, while summoning up coffee taste sensations on going down. It is brewed from five types of malt (two of which are torrified dark), and it is only lightly hopped.” It is produced using the traditional double fermentation process."
49,"“The union of wheaty freshness and dark malt often produces a fullness of taste and complexity”, explains the world-famous English beer commentator Michael Jackson. "
50,"Hoppy, farmhouse saison with champagne like effervescence; flavors include ginger, spice, orange and toasted grain."
51,"Abbey was Ommegang's first beer and was styled after Dubbels produced by Belgian Trappist monks. A deep, rich and malty ale, Abbey uses several Belgian specialty malts and spices resulting in a very aromatic, flavorful beer."
52,"This is the award-winning original American brown ale, first brewed as a holiday specialty, and now one of our most popular beers year-round. Northern English brown ales tend to be strong and dry, while southern English brown ales are milder and sweeter. Brooklyn Brown Ale combines the best of those classic styles and then adds an American accent in the form of a firm hop character and roasty palate. A blend of six malts, some of them roasted, give this beer its deep russet-brown color and complex malt flavor, fruity, smooth and rich, with a caramel, chocolate and coffee background. Generous late hopping brings forward a nice hop aroma to complete the picture. Brooklyn Brown Ale is full-flavored but retains a smoothness and easy drinkability that has made it one of the most popular dark beers in the Northeast."
53,"Plenty of IPAs will promise you the moon and the stars, looking to seduce you with words of smashing bitterness and hops everlasting. Actually, we're not here to ""blow you away with a lupulin cannon,"" or ""peel the enamel off your teeth."" East IPA is a clean, drinkable IPA that's packed with flavor and offers a bold balance, not a smack in the head. American hops soar in the bright piney aroma, while East Kent Goldings hops bring the taste of stone fruits and firm bitterness from IPA's ancestral British home. Give our East IPA a try with some rich crab cakes or salmon, strike up a conversation with farmhouse cheddars, and find harmony alongside spicy dishes. East IPA's blend of tradition and exuberance sets the standard for hop-driven deliciousness."
54,"In the late 1800’s Brooklyn was one of the largest brewing centers in the country, home to more than 45 breweries. Lager beer in the “Vienna” style was one of the local favorites. Brooklyn Lager is amber-gold in color and displays a firm malt center supported by a refreshing bitterness and floral hop aroma. Caramel malts show in the finish. The aromatic qualities of the beer are enhanced by “dry-hopping”, the centuries-old practice of steeping the beer with fresh hops as it undergoes a long, cold maturation. The result is a wonderfully flavorful beer, smooth, refreshing and very versatile with food. Dry-hopping is largely a British technique, which we’ve used in a Viennese-style beer to create an American original."
55,Dark Triple Ale brewed with caramel malt and re-fermented with Bordeaux wine yeast
56,"Belgian Strong Pale Ale, re-fermented with Bordeaux wine yeast"
57,"Buffalo Bill's Alimony Ale was originally brewed back in 1987 for a customer going through a divorce. It has gained reputation as one of the most eccentric brews, from reports in the Wall Street Journal and Newsweek. No longer one of the bitterest beers in America, just one of the best."
58,"This American pale ale opens with big citrus and pine notes, then smooths out with a faint toasted malt character and dry, slightly bitter finish. Denver Pale Ale is your go-to beer from city to trail and back again, no matter what the time or season."
59,Dos Equis Ambar (Amber) is a vienna style lager that was originally brewed by the German-born Mexican brewer Wilhelm Hasse in 1897.
60,"Our flagship brew, a medium bodied, American Amber Ale, that has a great up-front malt taste with a refreshing hop finish. Drown yourself in New England with this outstanding session beer."
61,Predecessor to Smuttynose Robust Porter.
62,"First brewed in England, these potent, malty monsters were frequently aged before being put into small bottles and sold as strong beers or even medicinal tonics. The American version has been blown up with more alcohol, larger bottles and more hops."
63,"Old Brown Dog has been cited as a classic example of the “American Brown Ale” style of beer. Compared to a typical English Brown Ale, Old Brown Dog is fuller-bodied and more strongly hopped."
64,2007 - 10.0%
65,"Our interpretation of a classic English beer style is copper-colored, medium-bodied and pleasantly hopped. Its flavor is delightfully complex: tangy fruit at the start, with an assertive hop crispness and a long malty palate that one well-known beer writer has compared to the flavor of freshly-baked bread."
66,"We brew our Maibock to be hugely malty & subtly finished with a variety of continental hops, with an eye-pleasing russet brown color. Prosit!"
67,"Our flagship. This is a classic British pale ale with a nod to the legendary beers of Burton-on-Trent. Copper-colored, dry, clean, and crisp with lots of late hop taste, in an appetizing complex with ale fruitiness from imported Hampshire yeast. Original gravity - 1047; alcohol by volume - 4.5%; two row English malt (pale, crystal and chocolate); Cascade, Mt. Hood, Tettnang and Fuggle Hops."
68,"Faithfully recreated by Geary’s, this classic English style has a deep mahogany color and a restrained roasted malt flavor. The result is rich and complex, yet smooth and refreshing. Original gravity - 1045; alcohol by volume - 4.2%; two row English malt (pale, crystal, chocolate and black); Cascade, Willamette and Golding hops."
69,Alc. by Vol.: 4.5%
70,Alc. by Vol.: 5.0%
71,Alc. by Vol.: 5.3%
72,"Deep, robust and richly rewarding, this is beer to linger over. Obsidian has distinct notes of espresso, chocolate, roasted malt and black barley, with just enough hop bite to cut the sweetness."
73,Alc. by Vol.: 5.2%
74,"For this beer, we use maple syrup from Red Brook Farm -- Sam's family farm in Western Massachusetts, peat-smoked barley, juniper berries and vanilla."
75,"“Ready for May?” In spring, the Einbecker brew-masters brew a particular special beer, the Einbecker Mai-Ur-Bock. This pleasantly-bitter refreshment is only available in the spring – as long as supplies last."
76,"It slithers through the city in search of his face. No place too seedy, no place too fake - they're all on the menu tonight. And of course she'll find him irresistible, for it's the forked tongue she prefers."
77,"Our Amber is a sweet, malty, medium-bodied ale with a spicy, floral hop finish. It's brewed with 2-row Pale, Crystal and Chocolate malts. And we hop it with Mt. Hoods and Cascades. We're as proud of it today as we were back in '89. And over the years it's earned more than 25 Gold Medals. Not that we're keeping track or anything."
78,Not to be confused with their English Style Pale.
79,"""A deep mahogany color, Wassail is brewed with four different malts and a blend of Pacific Northwest hops, giving it a malty full body and a pleasantly hoppy finish that appeals to both hop and malt lovers alike. In other words, a Christmas miracle."""
80,"Twice named World Champion Beer, Fuller’s ESB is one of the most decorated ales of its time. A winner born and brewed, it’s a strong, full-bodied ale that has delighted drinkers for decades with its smooth, mellow bitterness and superbly satisfying finish."
81,Fuller's London Porter is an award-winning example of this historic English style; smooth and creamy with delicious chocolate and coffee flavors derived from the roasted malt.
82,"Not just the iconic ale of the capital, London Pride is an all-British affair that unites a nation of beer drinkers. It’s brewed with entirely home-grown hop varieties - Target for bittering and Northdown, Challenger and Goldings for aroma - but the soul of the beer is unquestionably in the malt. "
83,Formerly Schneider Aventinus.
84,"A toast to the Cuyahoga River Fire! For rekindling an appreciation of the Great Lakes region’s natural resources (like the malt and hops illuminating this fresh Pale Ale). Crisp and bright, with refreshing flickers of citrus and pine that ignite the senses (not our local waterways)."
85,"Robust and complex, our Porter is a bittersweet tribute to the legendary freighter's fallen crew--taken too soon when the gales of November came early."
86,"Yes, it's known for winning medals worldwide. But locally, it's known as ""Dort,"" our flagship lager that humbly maintains its smooth, balanced (and charmingly unpretentious) ways."
87,"An amber lager with rich, fragrant malt flavors balanced by crisp noble hops."
88,"Best Bitter was the first beer we ever brewed, way back in 1988 at our Portland Brew Pub. This true English classic has been the anchor of our draft selection ever since."
89,Also known as Coronita Extra (small bottles) and Corona Familiar (larger bottles).
90,"Forbidden as it was to brew in summer, a stronger beer – the Märzen – was brewed earlier in March. It would finally be served at the Oktoberfest, under the “Heaven of Bavaria”. We have returned once again to the age-old recipe and recreated that gloriously smooth, honey-coloured piece of history from times gone by. And all is brewed with due reverence to the Bavarian Purity Law of 1516."
91,"Introduced by the Vikings, spruce and pine ales were very popular in the Scottish Highlands until the end of the 19th century. Many early explorers, including Captain Cook, used spruce ale during long sea voyages since it prevented scurvy and ill health. Shetland spruce ale was said to ""stimulate animal instincts"" and give you twins. Alba is a triple style ale brewed to a traditional Highland recipe from Scots pine and spruce shoots pickled during early spring. Pure malted barley, is boiled with the young sprigs of pine for several hours then the fresh shoots of the spruce are added for a short infusion before fermentation."
92,"From the Gaelic ""Groseid"", Since at least the 16th century Scots monks and alewives brewed indigenous drinks from cereals, wild herbs and ripe fruits. Tibbie Shiels green Grozet was immortalised by such Scots literati as Sir Walter Scott, Jas Hogg. (The Ettrick shepherd) and Robert Burns whoconsidered it a most convivial drink. Brewed with lager malt, wheat, bog myrtle, hops and meadowsweet then secondary fermented with ripe Scottish gooseberries."
93,"Brewed in Scotland since 2000 B.C. heather ale is probably the oldest style of ale still produced in the world. From an ancient Gaelic recipe for ""leann fraoich"" (heather ale) it has been revived and reintroduced to the Scottish culture. Into the boiling bree of malted barley, sweet gale and flowering heather are added, then after cooling slightly the hot ale is poured into a vat of fresh heather flowers where it infuses for an hour before being fermented."
94,Also known as Heineken Pilsener
95,"Deep, rich and malty with hints of chocolate and coffee. It's what espresso would be if it had the gumption to be beer. We use two different hop additions, specially selected crystal malts, roasted barley and oatmeal to give it a soft and silky mouth feel. Makes a great dessert or meal."
96,Brewed under contract for Pabst by Miller Brewing Co.
97,The pride of Nova Scotia.
98,"Real India Pale Ale (IPA), as it was first brewed in the days of the British Empire, was not the carefully filtered brew that we call IPA beer today. The first IPAs were unfiltered and featured extra hops and higher strength as a preservative for the long trip from England to the colony of India. Our Traditional IPA ale is naturally carbonated, dry-hopped & unfiltered like the old days."
99,A Vermont classic returns in 2017! 
100,"The culmination of a long growing season, the autumn harvest comes once a year. We mark the end of summer with the release our seasonal brown ale, Harvest. Vermont maple syrup added during the brewing process yields a lasting sweetness on the palate that's guaranteed to warm your soul."
101,"This malty, full-bodied double alt is also known as “Stickebier” – German slang for “secret brew”. Long Trail Double Bag was originally offered only in our brewery taproom as a special treat to our visitors. With an alcohol content of 7.2%, please indulge in moderation. The Long Trail Brewing Company is proud to have Double Bag named Malt Advocate’s “Beer of the Year” in 2001. Malt Advocate is a national magazine devoted to “expanding the boundaries of fine drinks”. Their panel of judges likes to keep things simple, and therefore of thousands of eligible competitors they award only two categories: “Imported” and “Domestic”. It is a great honor to receive this recognition."
102,Generous quantities of premium Cascade hops give the Pale Ale its fragrant bouquet and spicy flavor.
103,"Porter is a testament to roasted malts which give it a rich, bittersweet and roasted coffee-like flavor that's a perfect complement to a variety of foods. "
104,"Sierra Nevada Stout s a full-bodied American version of the traditional black ale. It is perfectly balanced with big roasted malt flavors and earthy, whole-cone hops."
105,"In medieval times, the celebration of darkness and light was marked with great halls filled with smoke and mirrors. Gilded goblets brimming with seasonal brews were lifted to lips speaking a language no longer known. The present connects the past through the brewer’s art and a beer of utter darkness is born - Feast of Fools Raspberry Stout. Gather thy friendly fools for a round and celebrate the oncoming darkness with sweet ale and glee."
106,"An enormous play in one significant act, Ravell is a porter brewed with whole vanilla beans, once available whenever young William and father John deem it so."
107,"Available in 2005-06, and 2009-present."
108,"A toast to weeds, rays, and summer haze. It was a light, crisp ale for mowing lawns, hitting lazy fly balls and communing with nature, Hocus Pocus was offered up as a summer sacrifice to cloudless days. Its malty sweetness finished tart and crisp and was best appreciated with a wedge of orange."
109,"Fat Angel, rest his soul, had a complex palate that balances the rich pleasures of malt with the crisp refreshing flavor of hops with a finish that is fresh and clean. Eminently drinkable, Fat Angel brought divergent tastes together to create a satisfyingly smooth harmony."
110,"It’s OK to be a Wee Heavy. Much has been made of the ills of smoking. Jinx thinks there’s nothing wrong with it. For years, he stood strong with his peat-smoked whiskey malt mash. He held his head high when others made fun of his wee heavy physique, becoming a mainstay in Magic Hat’s Night of the Living Dead Variety 12-Pak. People said he’d never attain an Original Gravity above 15.1 degrees Plato or an ABV above 6%. He proved them wrong. Take Magic Hat into the next alellenium. Vote Jinx."
111,"Our inky-black stout had a smooth, round palate with a dreamlike undercurrent of bittersweet chocolate. This dense liquid-silk summoned hope from hibernation and balanced winter's endless white snows with a rich swirl of creamy black rapture."
112,"An ale of enlightenment created to aid in deciphering the puzzles along life's road, and to interpret signs in the voyages of the spirit. Blind Faith is an extremely well-balanced India Pale Ale with a crisp, refreshing hop bitterness and a deep malt body to match."
113,"A beer cloaked in secrecy. An ale whose mysterious and unusual palate will swirl across your tongue and ask more questions than it answers. A sort of dry, crisp, refreshing, not-quite pale ale. #9 is really impossible to describe because there's never been anything else quite like it."
114,"Put a Little Spice In Your Life It’s time you had a beer that’s made up of more than just malted barley, hops, yeast and water. We’re entering a new era of craft beer, one where we need not be suppressed by outdated brewing standards and boring the purity laws of foreign countries. Coriander, orange peel, malted rye…Miss Bliss is all the rage of the future age! Put a little spice in your life, America, and kiss boring beer goodbye."
115,This 4.2% Kentish ale (bottle 4.5%) was first brewed in 1990 to celebrate the Battle of Britain which was fought in the skies above Kent 50 years earlier. The beer is named after the legendary Spitfire aeroplane designed by RJ Mitchell. The versatility of the aircraft and the courage of its pilots were essential to victory and were a key symbol of the spirit of that time.
116,"Harpoon Summer Beer is a beer brewed to be enjoyed with summertime activities. It is light, refreshing, and crisp."
117,"When you bring a glass of this dark copper ale to your lips to take your first sip you will notice the aroma of cinnamon. There is no aromatic hop added that might overpower the distinct spice scent. The medium body of this beer is formed from caramel and pale malts. These create enough body to support the spices without making the beer excessively rich. Bittering hops are added to counter the sweetness of the malt and spice. The finish of the beer is a blend of cinnamon and nutmeg. The combination of these two spices results in a balanced, pumpkin-pie flavor."
118,"We started brewing this beer as a summer seasonal in 1993. There were some great IPAs out in the Pacific Northwest, but no local IPAs on the east coast. We wanted to have a local IPA, so we brewed one. People absolutely loved it, and so did we. So we made it a year-round beer, and it’s now our bestselling beer and our flagship."
119,"The character and complexity of Harpoon Octoberfest comes from the malt and hops. When looking at a freshly poured Harpoon Octoberfest, you will notice the garnet-red color with a firm, creamy head. The beer’s color is from a blend of Munich, chocolate, and pale malt. The thick head results in part from wheat malt added to the grist. The hop aroma of this beer is not overpowering but it is present. Tettnang hops add a subtle spice nose that blends with the malt character. This beer is full-bodied, smooth, and malty. Willamettehops are used to provide a gentle bitterness and to balance any residual sweetness present from the malt. The finish is soft and malty with a mild bitterness."
120,"A blend of specialty malts gives this beer a velvety mouthfeel with roasted notes and a hint of chocolate, balanced by a subtle hop aroma. Hard to describe but easy to drink, Harpoon Dark is rich in character and light on the palate."
121,"UFO Hefeweizen is an American unfiltered wheat beer. Perhaps UFO’s initial sensory perception is also its most prominent: a cloudy golden color and a dense, frothy head. The yeast, which has not been filtered out, accounts for the cloudiness of UFO. Wheat malt tends to create a larger head than barley malt, the cereal grain most often used in brewing. When served in a traditional wheat beer glass with a lemon, UFO presents an appealing and distinctive visual image."
122,"A Bavarian Black beer with distinctive caramel malt sweetness and a rich creamy trademark head. Flavorful, yet smooth…very drinkable!"
123,"Champ Ale is a West Coast style pale ale. Also somewhat citrusy, it has notes of concord grapes both in the flavor and the nose. Made from a blend of British and domestic malts, it has a light red or pale rose color and very high drinkability."
124,An English-style pale ale that is dry hopped with Cascade Hops from the Yakima Valley.
125,"Millstream's Oktoberfest is similar to the our Munich style Schild Brau Amber, but it has more flavor, is maltier, and darker in color. A truly special beer, to celebrate the harvest, an important part of life here in Amana. Join us for the Amana Colonies Oktoberfest and partake of a pint yourself!"
126,"The name Schild Brau means essentially 'Schild Beer' in German. This is our flagship brew, a microbrew done in the style of the special beers of Munich. This beer is brewed in the style of a Vienna Lager."
127,"A big rich winter ale that pours reddish-gold in color with an earthy yeasty nose. The pallet is complex with flavors from malt, hops and yeast well represented. It has subtle sweetness and a nice warming hop finish."
128,Our unique contribution to the fruit ale category features the nutty quench of wheat ale combined with the delightful aromatics and subtle fruit flavor contributed by Maine wild blueberries.
129,"A refreshing, straw-colored ale with a fruity palate and a crisp finish. The intense aromatics of Cascade hops are balanced by the richness of traditional two-row British malted barley."
130,"Fashioned after the famous ales from Burton-On-Trent which took on such bold character after surviving the long, rolling voyage from London to Calcutta in the days of the Empire. This is an amber colored masterpiece in the world of beer styles."
131,Label of 22 oz bottle:
132,"An ale inspired by the style of a German Maibock, brewed using our proprietary Pacman yeast, Dead Guy Ale is deep honey in color with a malty aroma, rich hearty flavor and a well balanced finish."
133,Also known as XS Imperial Stout
134,Label of 22 oz bottle:
135,"Alias: ""I2PA"""
136,"Formerly known as Brutal IPA, Brutal Bitter Ale, and Portland State IPA (2010)."
137,"Malts: Northwest Harrington and Klages, 95-115 and 135-165 Crystal."
138,Also know as 'Mom Hefeweizen'
139,"Authentic wheat beer, brewed in the Southern German tradition, won the Silver Medal in 1997 and the Gold Medal at the 2000 in Denver, Colorado. Penn Weizen is top-fermented, cask-conditioned, and very effervescent with a slight hint of tangy clove flavor."
140,"Munich and various roasted malts give it a very malty, rich flavor with a hint of burnt flavor. 100% imported Hallertau hops, moderate bitterness and aroma."
141,"Nationally acclaimed as the best Munich-style beer made in America. Penn Gold is a light-colored, medium bodied lager beer with a delicate hop aroma."
142,"Our flagship brand! An amber Vienna-style lager beer that is smooth, mellow and full bodied, with delicate hop aroma. Uses two-row barley malt and caramel-roasted malt. Based on founder Tom Pastorius' favorite German bier."
143,Also known as Paulaner Oktoberfest Bier
144,"This unfiltered bottom fermented double bock beer has been brewed for over 375 years--always adhering to the original recipe. The taste is unmistakable, with its smooth chocolate flavor, robust dark caramel maltiness and a light note of hops--providing a nice intensity on the palate."
145,Our Original Munich Lager is a true classic and a beer which always goes down well. It is mild with a hint of sweetness and a soft hit of hops in the background. This Munich beer is ideal to accompany spicy dishes.
146,"This robust India Pale Ale follows British tradition by using bountiful amounts of fresh hop cones to produce a crisp clean character; blending Magnum, Crystal and Hallertauer hops with generous amounts of Munich and Carmel malt."
147,53 IBUs
148,"Named for the delicate engravings popularized by 19th century seafarers, Scrimshaw is a fresh tasting Pilsner brewed in the finest European tradition using Munich malt and Hallertauer and Tettnang hops. Scrimshaw has a subtle hop character, a crisp, clean palate, and a dry finish."
149,"Malt and hops are beautifully married in this full-bodied, copper-red Pale Ale. Red Seal is generously hopped for a long, spicy finish. An excellent accompaniment to grilled meats and rich sauces."
150,"Belgian Ales represent the height of the brewers’ art. Sophisticated brewing techniques, yeast blends, and unique flavoring elements have elevated the beers of Belgium to the status enjoyed by wine in other countries."
151,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish."
152,"While most lagers give away most of their taste profile in the front of the mouth, Pilsner Urquell only hints at its flavour there. Instead, it develops in the middle, followed by a refreshing, clean finish and balanced aftertaste, practically inviting you to have another."
153,28 IBU
154,"Our award-winning flagship brew inspired by the beers of Northern Germany. Copper Ale is a complex amber ale handcrafted with six malts, three hops and the spirit of the Green Mountains."
155,22 IBU
156,ABV in the USA is 4.1%
157,The style “IMPERIAL RUSSIAN STOUT” and the name “ALBERT LE COQ” are synonymous. In the early 1800’s the Belgian A. LE COQ exported Imperial Stout from England to Russia and the Baltic area.
158,"This strong golden ale is marked by passion fruit and herbal notes in the aroma, with suggestions of banana and honey in the complex palate. The Tripel has a remarkably long and smooth finish."
159,Fred was created to honor beer writer and historian Fred Eckhardt. It is made with aromatic and rye malts and includes 10 different hop varieties. 
160,32 IBU
161,17 IBU
162,Formerly known as Big Man Ale.
163,Matured for 100 days
164,"Using a time-honored recipe with only the finest malted barley and blend of hops, Rolling Rock is a classic American lager that is as well-known for its distinctive, full-bodied taste as it is for its craftsmanship, heritage and painted green bottle."
165,"When Crown Prince Ludwig of Bavaria wanted to celebrate his wedding engagement in 1810, he did what any good Bavarian prince would – he threw a beer festival. Both the festival and the special beer served there became known as Oktoberfest. Brewed from the finest German malt and hops, Brooklyn Oktoberfest is true to the original style, fullbodied and malty, with a bready aroma and light, brisk hop bitterness."
166,Known as Organic Best Ale in the UK.
